POB_NOMBRE/String/set/size=100/set/order=20/set/label=Nombre;COD_PROVINCIA/Integer/set/order=30/set/label=Provincia/set/fk=true/set/fk_table=esp_provincias/set/fk_code=COD_PROVINCIA/set/fk_label=FORMAT('%02d - %s', COD_PROVINCIA, PRO_NAME)/set/foreingkey_closedlist=false/set/relation=1;COD_POBLACION/Integer/set/order=10/set/label=Poblacion;COD_ORIGENCOORDENADAS/Integer/set/order=40/set/label=Origen de las coordenadas/set/fk=true/set/fk_table=origen_coordenadas/set/fk_code=COD_ORIGENCOORDENADAS/set/fk_label=FORMAT('%02d - %s', COD_ORIGENCOORDENADAS, ORI_DESCRIPCION)/set/foreingkey_closedlist=true/set/relation=1;GEOMETRY/Geometry/set/srs=EPSG@4258/set/geomtype=Point@2D/set/order=60/set/hidden=true
"Alegría-Dulantzi";"1";"1001";"1";"POINT (-2.51243731 42.83981158)"
"Amurrio";"1";"1002";"1";"POINT (-3.00007326 43.05427776)"
"Ibarra";"1";"1003";"1";"POINT (-2.5654003700000003 43.05119653)"
"Artziniega";"1";"1004";"1";"POINT (-3.12791718 43.12084358)"
"Armiñón";"1";"1006";"1";"POINT (-2.87183475 42.72326199)"
"Durana";"1";"1008";"1";"POINT (-2.63878816 42.89116171)"
"Araia";"1";"1009";"1";"POINT (-2.31670754 42.88968768)"
"Arespalditza/Respaldiza";"1";"1010";"1";"POINT (-3.04306746 43.07768283000001)"
"Baños de Ebro/Mañueta";"1";"1011";"1";"POINT (-2.67863583 42.52925602)"
"Ozaeta";"1";"1013";"1";"POINT (-2.49407452 42.91537538)"
"Berantevilla";"1";"1014";"1";"POINT (-2.8597141400000003 42.68227191)"
"Bernedo";"1";"1016";"1";"POINT (-2.49825439 42.62676989)"
"Santa Cruz de Campezo/Santikurutze Kanpezu";"1";"1017";"1";"POINT (-2.35207693 42.66971209)"
"Gopegi";"1";"1018";"1";"POINT (-2.73033002 42.96210609)"
"Kripan";"1";"1019";"1";"POINT (-2.51621636 42.59082439)"
"Zuhatzu Kuartango";"1";"1020";"1";"POINT (-2.8843824300000005 42.87006411)"
"Elburgo/Burgelu";"1";"1021";"2";"POINT (-2.545933 42.850282)"
"Elciego";"1";"1022";"1";"POINT (-2.61723872 42.51420738)"
"Elvillar/Bilar";"1";"1023";"1";"POINT (-2.54441267 42.56842577)"
"Azilu";"1";"1027";"2";"POINT (-2.475996232 42.83131017)"
"Labastida/Bastida";"1";"1028";"2";"POINT (-2.793199 42.590217)"
"Lagran";"1";"1030";"1";"POINT (-2.58423377 42.62621464)"
"Laguardia/Biasteri";"1";"1031";"1";"POINT (-2.58411693 42.55236655)"
"Lanciego/Lantziego";"1";"1032";"1";"POINT (-2.51278162 42.5624416)"
"Lapuebla de Labarca";"1";"1033";"1";"POINT (-2.57209001 42.49441468)"
"Leza";"1";"1034";"1";"POINT (-2.63459428 42.56469687)"
"Laudio/Llodio";"1";"1036";"1";"POINT (-2.96256495 43.1425188)"
"Maeztu/Maestu";"1";"1037";"2";"POINT (-2.444299 42.738527)"
"Moreda de Álava/Moreda Araba";"1";"1039";"1";"POINT (-2.40841718 42.52479167)"
"Navaridas";"1";"1041";"1";"POINT (-2.62479544 42.5450594)"
"Eskauriatza";"1";"1042";"1";"POINT (-3.019026823 43.1615513)"
"Oion";"1";"1043";"2";"POINT (-2.4367880000000004 42.506067)"
"Peñacerrada/Urizaharra";"1";"1044";"1";"POINT (-2.71402821 42.64417512)"
"Pobes";"1";"1046";"1";"POINT (-2.91080642 42.80074682)"
"Ribabellosa";"1";"1047";"1";"POINT (-2.91704002 42.71339792)"
"Salinas de Añana/Gesaltza Añana";"1";"1049";"1";"POINT (-2.98601634 42.8012318)"
"Agurain/Salvatierra";"1";"1051";"2";"POINT (-2.389753 42.850452)"
"Samaniego";"1";"1052";"1";"POINT (-2.67904862 42.56735197)"
"Ordoñana/Erdoñana";"1";"1053";"1";"POINT (-2.37748902 42.87382571)"
"Izarra";"1";"1054";"1";"POINT (-2.90661046 42.95304046)"
"Villanueva de Valdegovía";"1";"1055";"1";"POINT (-3.09884417 42.84756896)"
"Alda";"1";"1056";"1";"POINT (-2.33104687 42.75289194)"
"Villabuena de Álava/Eskuernaga";"1";"1057";"1";"POINT (-2.66452938 42.54857804)"
"Legutio";"1";"1058";"1";"POINT (-2.64255929 42.9798744)"
"Vitoria-Gasteiz";"1";"1059";"1";"POINT (-2.67275685 42.85058789)"
"Yécora/Iekora";"1";"1060";"1";"POINT (-2.4700849 42.56923117)"
"Zalduondo";"1";"1061";"1";"POINT (-2.34650825 42.88580971)"
"Zambrana";"1";"1062";"1";"POINT (-2.87806502 42.66112968)"
"Murgia";"1";"1063";"1";"POINT (-2.81862854 42.95597763)"
"Nanclares de la Oca/Langraiz Oka";"1";"1901";"1";"POINT (-2.8147543 42.81819126)"
"Comunión/Komunioi";"1";"1902";"1";"POINT (-2.96649719 42.71657557)"
"Abengibre";"2";"2001";"1";"POINT (-1.54384487 39.2100078)"
"Alatoz";"2";"2002";"1";"POINT (-1.36097604 39.09494843)"
"Albacete";"2";"2003";"1";"POINT (-1.85574745 38.99588053)"
"Albatana";"2";"2004";"1";"POINT (-1.52275248 38.5708754)"
"Alborea";"2";"2005";"1";"POINT (-1.39670449 39.27835442)"
"Alcadozo";"2";"2006";"1";"POINT (-1.9802275 38.6489758)"
"Alcalá del Júcar";"2";"2007";"1";"POINT (-1.42932697 39.1932018)"
"Alcaraz";"2";"2008";"1";"POINT (-2.49034957 38.66425104)"
"Almansa";"2";"2009";"1";"POINT (-1.09414681 38.86968811)"
"Alpera";"2";"2010";"1";"POINT (-1.23080245 38.95969094)"
"Ayna";"2";"2011";"1";"POINT (-2.07053831 38.55217746)"
"Balazote";"2";"2012";"1";"POINT (-2.15096732 38.88396156)"
"Balsa de Ves";"2";"2013";"1";"POINT (-1.19650012 39.26461253)"
"El Ballestero";"2";"2014";"1";"POINT (-2.45508633 38.84252196)"
"Barrax";"2";"2015";"1";"POINT (-2.20045637 39.0456106)"
"Bienservida";"2";"2016";"1";"POINT (-2.61184243 38.51602097000001)"
"Bogarra";"2";"2017";"1";"POINT (-2.21253636 38.58025427)"
"Bonete";"2";"2018";"1";"POINT (-1.34830324 38.86950589)"
"El Bonillo";"2";"2019";"1";"POINT (-2.54023691 38.95012362)"
"Carcelén";"2";"2020";"1";"POINT (-1.30876708 39.10231176)"
"Casas de Juan Núñez";"2";"2021";"1";"POINT (-1.55799035 39.10160749)"
"Casas de Lázaro";"2";"2022";"1";"POINT (-2.23922378 38.7705758)"
"Casas de Ves";"2";"2023";"1";"POINT (-1.33454992 39.25946122)"
"Casas-Ibáñez";"2";"2024";"1";"POINT (-1.47129143 39.28701686)"
"Caudete";"2";"2025";"1";"POINT (-0.9886912000000001 38.70573009)"
"Cenizate";"2";"2026";"1";"POINT (-1.66113349 39.30332101)"
"Corral-Rubio";"2";"2027";"1";"POINT (-1.4608525000000003 38.83500072)"
"Cotillas";"2";"2028";"1";"POINT (-2.50574545 38.43135915)"
"Chinchilla de Monte-Aragón";"2";"2029";"1";"POINT (-1.72602643 38.9210968)"
"Elche de la Sierra";"2";"2030";"1";"POINT (-2.04781376 38.447908930000004)"
"Férez";"2";"2031";"1";"POINT (-2.00953934 38.35567013000001)"
"Fuensanta";"2";"2032";"1";"POINT (-2.06725219 39.24466001)"
"Fuente-Álamo";"2";"2033";"1";"POINT (-1.43170411 38.69314229)"
"Fuentealbilla";"2";"2034";"1";"POINT (-1.54879364 39.26773579)"
"La Gineta";"2";"2035";"1";"POINT (-1.9978449600000001 39.11387916)"
"Golosalvo";"2";"2036";"1";"POINT (-1.63626863 39.23996013000001)"
"Hellín";"2";"2037";"1";"POINT (-1.70344921 38.51218953)"
"La Herrera";"2";"2038";"1";"POINT (-2.12637236 38.9621774)"
"Higueruela";"2";"2039";"1";"POINT (-1.44535609 38.96455026)"
"Hoya-Gonzalo";"2";"2040";"1";"POINT (-1.55687053 38.95787352000001)"
"Jorquera";"2";"2041";"1";"POINT (-1.52061391 39.17457441)"
"Letur";"2";"2042";"1";"POINT (-2.10096881 38.36632081)"
"Lezuza";"2";"2043";"1";"POINT (-2.35387427 38.94878996)"
"Liétor";"2";"2044";"1";"POINT (-1.95479319 38.54083745)"
"Madrigueras";"2";"2045";"1";"POINT (-1.7997012 39.23680339)"
"Mahora";"2";"2046";"1";"POINT (-1.72481837 39.21303088)"
"Masegoso";"2";"2047";"1";"POINT (-2.31511768 38.71877813)"
"Minaya";"2";"2048";"1";"POINT (-2.31961973 39.27118701)"
"Molinicos";"2";"2049";"1";"POINT (-2.23898151 38.46778179)"
"Montalvos";"2";"2050";"1";"POINT (-2.02769341 39.16721439)"
"Montealegre del Castillo";"2";"2051";"1";"POINT (-1.32487672 38.78717469)"
"Motilleja";"2";"2052";"1";"POINT (-1.7902576200000002 39.17948885)"
"Munera";"2";"2053";"1";"POINT (-2.4830388 39.03954575000001)"
"Navas de Jorquera";"2";"2054";"1";"POINT (-1.7189485000000002 39.28099513)"
"Nerpio";"2";"2055";"1";"POINT (-2.30224029 38.14824043)"
"Ontur";"2";"2056";"1";"POINT (-1.49888166 38.61472661)"
"Ossa de Montiel";"2";"2057";"1";"POINT (-2.74272664 38.96201035)"
"Paterna del Madera";"2";"2058";"1";"POINT (-2.34555766 38.597294350000006)"
"Peñascosa";"2";"2059";"1";"POINT (-2.41040499 38.67153536)"
"Peñas de San Pedro";"2";"2060";"1";"POINT (-2.00212787 38.72688881)"
"Pétrola";"2";"2061";"1";"POINT (-1.55549981 38.82629814)"
"Povedilla";"2";"2062";"1";"POINT (-2.60393627 38.70163971)"
"Pozohondo";"2";"2063";"1";"POINT (-1.91133356 38.721122)"
"Pozo-Lorente";"2";"2064";"1";"POINT (-1.50647855 39.07663024)"
"Pozuelo";"2";"2065";"1";"POINT (-2.10117384 38.80969625)"
"La Recueja";"2";"2066";"1";"POINT (-1.48988779 39.17688319)"
"Riópar";"2";"2067";"1";"POINT (-2.41839311 38.4998099)"
"Robledo";"2";"2068";"1";"POINT (-2.44882682 38.75778452)"
"La Roda";"2";"2069";"1";"POINT (-2.15924796 39.20706504)"
"Salobre";"2";"2070";"1";"POINT (-2.55057256 38.59195258)"
"San Pedro";"2";"2071";"1";"POINT (-2.186211 38.82654004)"
"Socovos";"2";"2072";"1";"POINT (-1.9846906500000001 38.33202632)"
"Tarazona de la Mancha";"2";"2073";"1";"POINT (-1.91280979 39.26539647)"
"Tobarra";"2";"2074";"1";"POINT (-1.69282296 38.5922733)"
"Valdeganga";"2";"2075";"1";"POINT (-1.67646922 39.13545152)"
"Vianos";"2";"2076";"1";"POINT (-2.50149079 38.632307)"
"Villa de Ves";"2";"2077";"1";"POINT (-1.25897631 39.22231541)"
"Villalgordo del Júcar";"2";"2078";"1";"POINT (-2.06309183 39.29598679)"
"Villamalea";"2";"2079";"1";"POINT (-1.59908353 39.36160785)"
"Villapalacios";"2";"2080";"1";"POINT (-2.63505947 38.57467359)"
"Villarrobledo";"2";"2081";"1";"POINT (-2.60714311 39.26755792)"
"Villatoya";"2";"2082";"1";"POINT (-1.33858599 39.33385264)"
"Villavaliente";"2";"2083";"1";"POINT (-1.45799642 39.12645758)"
"Villaverde de Guadalimar";"2";"2084";"2";"POINT (-2.518480636 38.456169)"
"Viveros";"2";"2085";"1";"POINT (-2.57590915 38.77363475)"
"Yeste";"2";"2086";"1";"POINT (-2.31903072 38.36643865)"
"Pozo Cañada";"2";"2901";"1";"POINT (-1.73622317 38.80136100000001)"
"l'Atzúbia";"3";"3001";"1";"POINT (-0.15173035 38.84743029)"
"Agost";"3";"3002";"1";"POINT (-0.63891979 38.43949316)"
"Agres";"3";"3003";"1";"POINT (-0.51595543 38.78000404)"
"Aigües";"3";"3004";"1";"POINT (-0.36258669 38.49887092)"
"Albatera";"3";"3005";"1";"POINT (-0.86792141 38.17894636)"
"Alcalalí";"3";"3006";"1";"POINT (-0.04160798 38.74965349)"
"Alcocer de Planes";"3";"3007";"1";"POINT (-0.40197036 38.79447224)"
"Alcoleja";"3";"3008";"1";"POINT (-0.33100925 38.67548564)"
"Alcoy/Alcoi";"3";"3009";"1";"POINT (-0.47318376 38.69836894)"
"Alfafara";"3";"3010";"1";"POINT (-0.55552339 38.77274828)"
"l'Alfàs del Pi";"3";"3011";"1";"POINT (-0.1026002 38.58009496)"
"Algorfa";"3";"3012";"1";"POINT (-0.79568423 38.08681637)"
"Algueña";"3";"3013";"1";"POINT (-1.00303745 38.33800138)"
"Alicante/Alacant";"3";"3014";"1";"POINT (-0.4831832 38.34548705)"
"Almoradí";"3";"3015";"1";"POINT (-0.79201713 38.10977991)"
"Almudaina";"3";"3016";"1";"POINT (-0.35370678 38.76155764)"
"l'Alqueria d'Asnar";"3";"3017";"1";"POINT (-0.42552267 38.773118020000005)"
"Altea";"3";"3018";"1";"POINT (-0.05144236 38.59892497)"
"Aspe";"3";"3019";"1";"POINT (-0.76849107 38.34577266)"
"Balones";"3";"3020";"1";"POINT (-0.3423738800000001 38.73701039)"
"Banyeres de Mariola";"3";"3021";"1";"POINT (-0.65685684 38.71635902)"
"Benasau";"3";"3022";"1";"POINT (-0.3426126400000001 38.68991329)"
"Beneixama";"3";"3023";"1";"POINT (-0.76676743 38.700185330000004)"
"Benejúzar";"3";"3024";"1";"POINT (-0.83819517 38.07806375)"
"Benferri";"3";"3025";"1";"POINT (-0.9622579 38.14179352)"
"Beniarbeig";"3";"3026";"1";"POINT (-0.00130364 38.82193219)"
"Beniardá";"3";"3027";"1";"POINT (-0.21600764 38.68343356)"
"Beniarrés";"3";"3028";"1";"POINT (-0.37904234 38.82007885)"
"Benigembla";"3";"3029";"1";"POINT (-0.10982699 38.756335140000004)"
"Benidoleig";"3";"3030";"1";"POINT (-0.03173239 38.791917000000005)"
"Benidorm";"3";"3031";"1";"POINT (-0.1306853 38.53427136)"
"Benifallim";"3";"3032";"1";"POINT (-0.39922559 38.66273419)"
"Benifato";"3";"3033";"1";"POINT (-0.22888967 38.67369418)"
"Benijófar";"3";"3034";"1";"POINT (-0.73828051 38.0808408)"
"Benilloba";"3";"3035";"1";"POINT (-0.3908201 38.69955909)"
"Benillup";"3";"3036";"1";"POINT (-0.3789958 38.75380301)"
"Benimantell";"3";"3037";"1";"POINT (-0.20984798 38.67659254)"
"Benimarfull";"3";"3038";"1";"POINT (-0.39099875 38.775848010000004)"
"Benimassot";"3";"3039";"1";"POINT (-0.291855 38.74905825)"
"Benimeli";"3";"3040";"1";"POINT (-0.04146491 38.82296616)"
"Benissa";"3";"3041";"1";"POINT (0.05043358 38.7151969)"
"Benitachell/el Poble Nou de Benitatxell";"3";"3042";"1";"POINT (0.14459559 38.73292416)"
"Biar";"3";"3043";"1";"POINT (-0.76597374 38.62996229)"
"Bigastro";"3";"3044";"1";"POINT (-0.89528476 38.06301558)"
"Bolulla";"3";"3045";"1";"POINT (-0.11168494 38.67657681)"
"Busot";"3";"3046";"1";"POINT (-0.42050568 38.4819618)"
"Calp";"3";"3047";"1";"POINT (0.04453809 38.64526261000001)"
"Callosa d'en Sarrià";"3";"3048";"1";"POINT (-0.12235041 38.65164066)"
"Callosa de Segura";"3";"3049";"1";"POINT (-0.87933854 38.12258136)"
"el Campello";"3";"3050";"1";"POINT (-0.40086509 38.42754724)"
"Campo de Mirra/el Camp de Mirra";"3";"3051";"1";"POINT (-0.77925393 38.68719624)"
"Cañada";"3";"3052";"1";"POINT (-0.80952172 38.67518917)"
"Castalla";"3";"3053";"1";"POINT (-0.67026538 38.59657643)"
"Castell de Castells";"3";"3054";"1";"POINT (-0.19391054 38.72499704)"
"Catral";"3";"3055";"1";"POINT (-0.80464175 38.15964959)"
"Cocentaina";"3";"3056";"1";"POINT (-0.44022067 38.74541202)"
"Confrides";"3";"3057";"1";"POINT (-0.26810894 38.68353731)"
"Cox";"3";"3058";"1";"POINT (-0.88437585 38.13972138)"
"Crevillent";"3";"3059";"1";"POINT (-0.80855322 38.24881414)"
"Quatretondeta";"3";"3060";"1";"POINT (-0.31641906 38.72386675)"
"Daya Nueva";"3";"3061";"1";"POINT (-0.76103525 38.11371672)"
"Daya Vieja";"3";"3062";"1";"POINT (-0.73805702 38.1047248)"
"Dénia";"3";"3063";"1";"POINT (0.10661934 38.84122705)"
"Dolores";"3";"3064";"1";"POINT (-0.76969869 38.13897736)"
"Elche/Elx";"3";"3065";"1";"POINT (-0.69775581 38.26741662)"
"Elda";"3";"3066";"1";"POINT (-0.79611046 38.47878894)"
"Fageca";"3";"3067";"1";"POINT (-0.26771337 38.73467536)"
"Famorca";"3";"3068";"1";"POINT (-0.24604552 38.73219338)"
"Finestrat";"3";"3069";"1";"POINT (-0.2117688 38.56697349)"
"Formentera del Segura";"3";"3070";"1";"POINT (-0.74649853 38.08423377)"
"Gata de Gorgos";"3";"3071";"1";"POINT (0.08427495 38.7732101)"
"Gaianes";"3";"3072";"1";"POINT (-0.40755768 38.81311114)"
"Gorga";"3";"3073";"1";"POINT (-0.35671735 38.71833445)"
"Granja de Rocamora";"3";"3074";"1";"POINT (-0.89001674 38.15262779)"
"el Castell de Guadalest";"3";"3075";"1";"POINT (-0.19735239 38.67694213)"
"Guardamar del Segura";"3";"3076";"1";"POINT (-0.65477035 38.08988071)"
"el Fondó de les Neus/Hondón de las Nieves";"3";"3077";"1";"POINT (-0.85486637 38.30855695)"
"Hondón de los Frailes";"3";"3078";"1";"POINT (-0.9269948699999999 38.27358559)"
"Ibi";"3";"3079";"1";"POINT (-0.57466482 38.62745682)"
"Jacarilla";"3";"3080";"1";"POINT (-0.86635637 38.06070041)"
"Xaló";"3";"3081";"1";"POINT (-0.01192072 38.74069906)"
"Jávea/Xàbia";"3";"3082";"1";"POINT (0.16340067 38.78925837)"
"Jijona/Xixona";"3";"3083";"1";"POINT (-0.50791278 38.53902509)"
"Lorcha/l'Orxa";"3";"3084";"1";"POINT (-0.31125116 38.84403413)"
"Llíber";"3";"3085";"1";"POINT (0.006304 38.74347137000001)"
"Millena";"3";"3086";"1";"POINT (-0.36337482 38.73087323)"
"Monforte del Cid";"3";"3088";"1";"POINT (-0.72989187 38.37928097)"
"Monóvar/Monòver";"3";"3089";"1";"POINT (-0.83780533 38.43721579000001)"
"Mutxamel";"3";"3090";"1";"POINT (-0.44522331 38.41368396)"
"Murla";"3";"3091";"1";"POINT (-0.08306874 38.75958883)"
"Muro de Alcoy";"3";"3092";"1";"POINT (-0.4357044 38.77998192)"
"Novelda";"3";"3093";"1";"POINT (-0.76539782 38.38606382)"
"la Nucia";"3";"3094";"1";"POINT (-0.12289748 38.61761623)"
"Ondara";"3";"3095";"1";"POINT (0.01764367 38.82692459)"
"Onil";"3";"3096";"1";"POINT (-0.6740463 38.629520920000004)"
"Orba";"3";"3097";"1";"POINT (-0.06371253 38.78039233)"
"Orxeta";"3";"3098";"1";"POINT (-0.2618598 38.56400384)"
"Orihuela";"3";"3099";"2";"POINT (-0.9499545650000001 38.08522582)"
"Parcent";"3";"3100";"1";"POINT (-0.06446788 38.74571695)"
"Pedreguer";"3";"3101";"1";"POINT (0.03432468 38.7935383)"
"Pego";"3";"3102";"1";"POINT (-0.11803172 38.84201714)"
"Penàguila";"3";"3103";"1";"POINT (-0.35881625 38.67944195)"
"Petrer";"3";"3104";"1";"POINT (-0.76953712 38.48480043)"
"el Pinós/Pinoso";"3";"3105";"1";"POINT (-1.04195399 38.40441177)"
"Planes";"3";"3106";"1";"POINT (-0.34478535 38.78583429)"
"Polop";"3";"3107";"1";"POINT (-0.12654723 38.62255314)"
"Rafal";"3";"3109";"1";"POINT (-0.84889051 38.10480713)"
"el Ràfol d'Almúnia";"3";"3110";"1";"POINT (-0.05280018 38.82066727)"
"Redován";"3";"3111";"1";"POINT (-0.9052486500000001 38.1140353)"
"Relleu";"3";"3112";"1";"POINT (-0.31086389 38.58727823)"
"Rojales";"3";"3113";"1";"POINT (-0.7231866 38.08892037)"
"la Romana";"3";"3114";"1";"POINT (-0.8960138 38.36742371)"
"Sagra";"3";"3115";"1";"POINT (-0.06512199 38.811428070000005)"
"Salinas";"3";"3116";"1";"POINT (-0.91278122 38.52006995)"
"Sanet y Negrals";"3";"3117";"1";"POINT (-0.03373355 38.81916633)"
"San Fulgencio";"3";"3118";"2";"POINT (-0.718882252 38.11200673)"
"Sant Joan d'Alacant";"3";"3119";"1";"POINT (-0.43660694 38.40151192)"
"San Miguel de Salinas";"3";"3120";"1";"POINT (-0.78930554 37.97713811)"
"Santa Pola";"3";"3121";"1";"POINT (-0.55528061 38.1931155)"
"San Vicente del Raspeig/Sant Vicent del Raspeig";"3";"3122";"1";"POINT (-0.52499072 38.39613348)"
"Sax";"3";"3123";"1";"POINT (-0.81692328 38.53849557)"
"Sella";"3";"3124";"1";"POINT (-0.27218087 38.60812245)"
"Senija";"3";"3125";"1";"POINT (0.04175328 38.72826598000001)"
"Tàrbena";"3";"3127";"1";"POINT (-0.1019394 38.69363337)"
"Teulada";"3";"3128";"1";"POINT (0.10231946 38.72911733)"
"Tibi";"3";"3129";"1";"POINT (-0.57799241 38.53125236)"
"Tollos";"3";"3130";"1";"POINT (-0.27417974 38.75700785000001)"
"Tormos";"3";"3131";"1";"POINT (-0.0723226 38.80205024)"
"Torremanzanas/la Torre de les Maçanes";"3";"3132";"1";"POINT (-0.41885176 38.60676744)"
"Torrevieja";"3";"3133";"1";"POINT (-0.68302608 37.97775873)"
"Alcalà de la Jovada";"3";"3134";"1";"POINT (-0.25201489 38.79456237)"
"la Vall d'Ebo";"3";"3135";"1";"POINT (-0.15985139 38.80574426)"
"Benialí";"3";"3136";"1";"POINT (-0.22174105 38.82200923)"
"la Vall de Laguar";"3";"3137";"1";"POINT (-0.10944662 38.77743427)"
"el Verger";"3";"3138";"1";"POINT (0.01012098 38.84290338000001)"
"Villajoyosa/la Vila Joiosa";"3";"3139";"1";"POINT (-0.2319288 38.50545611)"
"Villena";"3";"3140";"1";"POINT (-0.86138343 38.62963811)"
"Setla";"3";"3901";"1";"POINT (0.01680187 38.85116436)"
"Pilar de la Horadada";"3";"3902";"1";"POINT (-0.79242783 37.86372554)"
"Los Montesinos";"3";"3903";"1";"POINT (-0.74364774 38.02749921)"
"San Isidro";"3";"3904";"1";"POINT (-0.83836588 38.17123285)"
"Abla";"4";"4001";"1";"POINT (-2.77953953 37.1412099)"
"Abrucena";"4";"4002";"1";"POINT (-2.7974669 37.13218285)"
"Adra";"4";"4003";"1";"POINT (-3.02330257 36.74868325)"
"Albanchez";"4";"4004";"1";"POINT (-2.18135854 37.28686167)"
"Alboloduy";"4";"4005";"1";"POINT (-2.62168571 37.03339629)"
"Albox";"4";"4006";"2";"POINT (-2.146835459 37.38967753)"
"Alcolea";"4";"4007";"1";"POINT (-2.96066637 36.97361957)"
"Alcóntar";"4";"4008";"1";"POINT (-2.59756879 37.33611796)"
"Alcudia de Monteagud";"4";"4009";"1";"POINT (-2.26678969 37.23587193)"
"Alhabia";"4";"4010";"1";"POINT (-2.58702093 36.98991242)"
"Alhama de Almería";"4";"4011";"1";"POINT (-2.56977648 36.957182810000006)"
"Alicún";"4";"4012";"1";"POINT (-2.60215517 36.96671607)"
"Almería";"4";"4013";"1";"POINT (-2.46413188 36.83892362)"
"Almócita";"4";"4014";"1";"POINT (-2.7898439700000006 37.00274251)"
"Alsodux";"4";"4015";"1";"POINT (-2.5946463800000004 37.00135999)"
"Antas";"4";"4016";"1";"POINT (-1.9171531499999999 37.24459175)"
"Arboleas";"4";"4017";"1";"POINT (-2.0754646 37.35116011)"
"Armuña de Almanzora";"4";"4018";"1";"POINT (-2.41135555 37.34982202)"
"Bacares";"4";"4019";"1";"POINT (-2.45318749 37.26120059)"
"Bayárcal";"4";"4020";"1";"POINT (-2.99562617 37.03018267)"
"Bayarque";"4";"4021";"1";"POINT (-2.4359436400000005 37.33068864)"
"Bédar";"4";"4022";"1";"POINT (-1.98182232 37.19030833)"
"Beires";"4";"4023";"1";"POINT (-2.79152516 37.01264326)"
"Benahadux";"4";"4024";"2";"POINT (-2.455766 36.925792)"
"Benitagla";"4";"4026";"1";"POINT (-2.23834784 37.23123941)"
"Benizalón";"4";"4027";"2";"POINT (-2.24165602 37.2118904)"
"Bentarique";"4";"4028";"1";"POINT (-2.61889692 36.98631438)"
"Berja";"4";"4029";"1";"POINT (-2.94948207 36.84732147)"
"Canjáyar";"4";"4030";"1";"POINT (-2.7394437800000007 37.01006973)"
"Cantoria";"4";"4031";"1";"POINT (-2.19324978 37.35219371)"
"Carboneras";"4";"4032";"1";"POINT (-1.89349648 36.99742391)"
"Castro de Filabres";"4";"4033";"1";"POINT (-2.43912676 37.18484936)"
"Cóbdar";"4";"4034";"1";"POINT (-2.21001778 37.26157453)"
"Cuevas del Almanzora";"4";"4035";"2";"POINT (-1.8806321670000001 37.29705933)"
"Chercos";"4";"4036";"1";"POINT (-2.258064172 37.26711184)"
"Chirivel";"4";"4037";"1";"POINT (-2.26658541 37.59512473)"
"Dalías";"4";"4038";"1";"POINT (-2.8711105500000005 36.82078429)"
"Enix";"4";"4041";"1";"POINT (-2.60175846 36.8769393)"
"Felix";"4";"4043";"1";"POINT (-2.65861622 36.86898567000001)"
"Fines";"4";"4044";"2";"POINT (-2.263101772 37.3587942)"
"Fiñana";"4";"4045";"1";"POINT (-2.84178852 37.17135438)"
"Fondón";"4";"4046";"1";"POINT (-2.85918906 36.97993167)"
"Gádor";"4";"4047";"1";"POINT (-2.49279322 36.9530923)"
"Los Gallardos";"4";"4048";"1";"POINT (-1.9417001999999999 37.17027055)"
"Garrucha";"4";"4049";"1";"POINT (-1.82347743 37.1797194)"
"Gérgal";"4";"4050";"1";"POINT (-2.53905331 37.12083904)"
"Huécija";"4";"4051";"1";"POINT (-2.60994487 36.96802203)"
"Huércal de Almería";"4";"4052";"2";"POINT (-2.441637878 36.87874536)"
"Huércal-Overa";"4";"4053";"1";"POINT (-1.94352848 37.39055009)"
"Íllar";"4";"4054";"1";"POINT (-2.63886001 36.9849617)"
"Instinción";"4";"4055";"1";"POINT (-2.65979091 36.99319077)"
"Laroya";"4";"4056";"1";"POINT (-2.3320851 37.29604768)"
"Láujar de Andarax";"4";"4057";"1";"POINT (-2.88903331 36.99456726)"
"Líjar";"4";"4058";"1";"POINT (-2.21999131 37.29501881)"
"Lubrín";"4";"4059";"1";"POINT (-2.06592032 37.21648353)"
"Lucainena de las Torres";"4";"4060";"1";"POINT (-2.2011865 37.0402677)"
"Lúcar";"4";"4061";"1";"POINT (-2.42494356 37.40081642)"
"Macael";"4";"4062";"1";"POINT (-2.30432229 37.33233031)"
"María";"4";"4063";"1";"POINT (-2.16479793 37.7115544)"
"Mojácar";"4";"4064";"1";"POINT (-1.85016798 37.14008707)"
"Nacimiento";"4";"4065";"1";"POINT (-2.64792293 37.10502345)"
"Níjar";"4";"4066";"2";"POINT (-2.206606998 36.96577831)"
"Ohanes";"4";"4067";"1";"POINT (-2.74552024 37.03829786)"
"Olula de Castro";"4";"4068";"1";"POINT (-2.4738714400000004 37.17517469)"
"Olula del Río";"4";"4069";"2";"POINT (-2.298036055 37.35213746)"
"Oria";"4";"4070";"1";"POINT (-2.29602131 37.48360163)"
"Padules";"4";"4071";"1";"POINT (-2.77409853 36.99862987)"
"Partaloa";"4";"4072";"1";"POINT (-2.2262643 37.40605456)"
"Paterna del Río";"4";"4073";"1";"POINT (-2.95313089 37.02162718)"
"Pechina";"4";"4074";"1";"POINT (-2.44105175 36.91567505)"
"Pulpí";"4";"4075";"1";"POINT (-1.745159 37.41211031)"
"Purchena";"4";"4076";"1";"POINT (-2.36166335 37.34731041)"
"Rágol";"4";"4077";"1";"POINT (-2.68123514 36.9953238)"
