POB_NOMBRE/String/set/size=100/set/order=20/set/label=Nombre;COD_PROVINCIA/Integer/set/order=30/set/label=Provincia/set/fk=true/set/fk_table=esp_provincias/set/fk_code=COD_PROVINCIA/set/fk_label=FORMAT('%02d - %s', COD_PROVINCIA, PRO_NAME)/set/foreingkey_closedlist=false/set/relation=1;COD_POBLACION/Integer/set/order=10/set/label=Poblacion;COD_ORIGENCOORDENADAS/Integer/set/order=40/set/label=Origen de las coordenadas/set/fk=true/set/fk_table=origen_coordenadas/set/fk_code=COD_ORIGENCOORDENADAS/set/fk_label=FORMAT('%02d - %s', COD_ORIGENCOORDENADAS, ORI_DESCRIPCION)/set/foreingkey_closedlist=true/set/relation=1;GEOMETRY/Geometry/set/srs=EPSG@4258/set/geomtype=Point@2D/set/order=60/set/hidden=true
"Gerri de la Sal";"25";"25039";"1";"POINT (1.06696344 42.32199421)"
"Balaguer";"25";"25040";"1";"POINT (0.80457795 41.79152287)"
"Barbens";"25";"25041";"1";"POINT (1.01849203 41.678852)"
"Gualter";"25";"25042";"1";"POINT (1.19586967 41.93220691)"
"Barruera";"25";"25043";"1";"POINT (0.80227472 42.50428276)"
"Bassella";"25";"25044";"1";"POINT (1.28759749 42.01144351)"
"Bausen";"25";"25045";"1";"POINT (0.71764419 42.8346169)"
"Belianes";"25";"25046";"1";"POINT (1.0172669700000003 41.56128640000001)"
"Bellcaire d'Urgell";"25";"25047";"1";"POINT (0.9060741799999998 41.75937466)"
"Bell-lloc d'Urgell";"25";"25048";"1";"POINT (0.78088459 41.62932424)"
"Bellmunt d'Urgell";"25";"25049";"1";"POINT (0.95239765 41.77447574)"
"Bellpuig";"25";"25050";"1";"POINT (1.01228445 41.62522812)"
"Bellver de Cerdanya";"25";"25051";"1";"POINT (1.77460021 42.37084442)"
"Bellvís";"25";"25052";"1";"POINT (0.81748995 41.67326493)"
"Benavent de Segrià";"25";"25053";"1";"POINT (0.63287061 41.69564661)"
"Biosca";"25";"25055";"1";"POINT (1.35875237 41.84199211)"
"Bovera";"25";"25056";"1";"POINT (0.63889408 41.32601883)"
"Es Bòrdes";"25";"25057";"1";"POINT (0.71934111 42.73749625)"
"Les Borges Blanques";"25";"25058";"1";"POINT (0.86890823 41.52178555)"
"Bossòst";"25";"25059";"1";"POINT (0.6924015800000001 42.78566447)"
"Cabanabona";"25";"25060";"1";"POINT (1.21491663 41.85073591)"
"Cabó";"25";"25061";"1";"POINT (1.24806362 42.23919476)"
"Camarasa";"25";"25062";"1";"POINT (0.87733178 41.87441493)"
"Canejan";"25";"25063";"1";"POINT (0.73947065 42.8386609)"
"Castellar de la Ribera";"25";"25064";"1";"POINT (1.4154827 42.02275401)"
"Castelldans";"25";"25067";"1";"POINT (0.7662941600000001 41.49963625)"
"Castellnou de Seana";"25";"25068";"1";"POINT (0.97018409 41.64866572)"
"Castelló de Farfanya";"25";"25069";"1";"POINT (0.72670978 41.82132327)"
"Castellserà";"25";"25070";"1";"POINT (0.9870482000000002 41.7467723)"
"Ansovell";"25";"25071";"1";"POINT (1.58422914 42.3252951)"
"Cervera";"25";"25072";"1";"POINT (1.27119164 41.66575537)"
"Cervià de les Garrigues";"25";"25073";"1";"POINT (0.85919872 41.42469365)"
"Ciutadilla";"25";"25074";"1";"POINT (1.14008822 41.56127647)"
"Clariana de Cardener";"25";"25075";"2";"POINT (1.62480448 41.93383651)"
"El Cogul";"25";"25076";"1";"POINT (0.68971345 41.46672627)"
"Coll de Nargó";"25";"25077";"1";"POINT (1.31603374 42.17430748)"
"Corbins";"25";"25078";"1";"POINT (0.69661257 41.691755)"
"Cubells";"25";"25079";"1";"POINT (0.9594855300000001 41.85144362)"
"L'Espluga Calba";"25";"25081";"1";"POINT (1.00375578 41.49488972)"
"Espot";"25";"25082";"1";"POINT (1.08869741 42.5765545)"
"Estaràs";"25";"25085";"1";"POINT (1.37833145 41.69219421)"
"Esterri d'Àneu";"25";"25086";"1";"POINT (1.12329592 42.62786267)"
"Esterri de Cardós";"25";"25087";"1";"POINT (1.26147622 42.59289783)"
"Estamariu";"25";"25088";"1";"POINT (1.52322739 42.37320251)"
"Burg";"25";"25089";"1";"POINT (1.27230747 42.50439257)"
"La Floresta";"25";"25092";"1";"POINT (0.91926928 41.51159386)"
"Fondarella";"25";"25093";"1";"POINT (0.87512433 41.63454577)"
"Foradada";"25";"25094";"1";"POINT (1.01398985 41.876878070000004)"
"La Fuliola";"25";"25096";"1";"POINT (1.01838395 41.71368711)"
"Fulleda";"25";"25097";"1";"POINT (1.02457018 41.46352787)"
"Gavet de la Conca";"25";"25098";"1";"POINT (0.92104472 42.122332)"
"Golmés";"25";"25099";"1";"POINT (0.9321188299999998 41.63250497000001)"
"Gósol";"25";"25100";"1";"POINT (1.66119102 42.23676277)"
"La Granadella";"25";"25101";"1";"POINT (0.66529307 41.35495591000001)"
"La Granja d'Escarp";"25";"25102";"1";"POINT (0.3525485 41.41889209)"
"La Curullada";"25";"25103";"1";"POINT (1.2272227000000002 41.66513963)"
"Granyena de Segarra";"25";"25104";"1";"POINT (1.24643002 41.62390481)"
"Granyena de les Garrigues";"25";"25105";"1";"POINT (0.64898228 41.43280137)"
"Guimerà";"25";"25109";"1";"POINT (1.18710243 41.56494565)"
"Guissona";"25";"25110";"1";"POINT (1.28903996 41.78497273)"
"Valls";"25";"25111";"2";"POINT (1.666424021 42.13236721)"
"Ivars de Noguera";"25";"25112";"1";"POINT (0.58568954 41.85035366)"
"Ivars d'Urgell";"25";"25113";"1";"POINT (0.98636466 41.682787690000005)"
"Ivorra";"25";"25114";"1";"POINT (1.39587326 41.77153608)"
"Isona";"25";"25115";"1";"POINT (1.04480661 42.11734859)"
"Juncosa";"25";"25118";"1";"POINT (0.77545978 41.37096542)"
"Juneda";"25";"25119";"1";"POINT (0.82573763 41.54943805)"
"Lleida";"25";"25120";"1";"POINT (0.62061934 41.61527355)"
"Les";"25";"25121";"1";"POINT (0.71274283 42.81192576)"
"Linyola";"25";"25122";"1";"POINT (0.90434264 41.71125835)"
"Lladorre";"25";"25123";"1";"POINT (1.25007356 42.62009196)"
"Lladurs";"25";"25124";"1";"POINT (1.50845447 42.04483928)"
"Llardecans";"25";"25125";"1";"POINT (0.5500690600000001 41.37520163)"
"Llavorsí";"25";"25126";"1";"POINT (1.21132384 42.49568539)"
"Lles de Cerdanya";"25";"25127";"1";"POINT (1.6879921200000003 42.39184246)"
"Llimiana";"25";"25128";"1";"POINT (0.9165847400000001 42.07491588)"
"Llobera";"25";"25129";"1";"POINT (1.47271831 41.95072248)"
"Maldà";"25";"25130";"1";"POINT (1.03913949 41.55059243)"
"Massalcoreig";"25";"25131";"1";"POINT (0.35931697 41.45911704)"
"Massoteres";"25";"25132";"1";"POINT (1.31096864 41.79768114)"
"Maials";"25";"25133";"1";"POINT (0.50424579 41.36467845)"
"Menàrguens";"25";"25134";"1";"POINT (0.7436465 41.72977565)"
"Miralcamp";"25";"25135";"1";"POINT (0.87815289 41.60517743)"
"La Molsosa";"25";"25136";"2";"POINT (1.5439700000000003 41.78573)"
"Mollerussa";"25";"25137";"1";"POINT (0.89391515 41.62967682)"
